item,group,pass,own_exit_excess,final_target_exit3_excess,raw_excess,fit01_excess
confirmation-118,dg002,1,0.9166666666666666,-0.008438818565400843,0.0,0.0
confirmation-119,dg020,1,0.0,-0.0010548523206751054,0.0,0.0
confirmation-120,dg020,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-121,dg021,1,1.0,-0.008438818565400843,0.8333333333333334,0.0
confirmation-122,dg021,1,1.0,0.24472573839662448,0.25,0.0
confirmation-123,dg013,1,1.0,0.0,0.08333333333333333,0.0
confirmation-124,dg013,1,0.6666666666666666,0.0,0.0,0.0
confirmation-125,dg022,1,0.0,-0.005274261603375527,0.0,0.0
confirmation-126,dg022,1,0.0,0.0,0.0,0.0
confirmation-127,dg023,1,0.0,-0.007383966244725738,0.0,-0.005274261603375527
confirmation-128,dg023,1,1.0,-0.004219409282700422,0.0,0.0
confirmation-129,dg006,1,-0.0010548523206751054,0.0,0.0,0.0
confirmation-130,dg006,1,0.0,0.0,0.0,0.0
confirmation-131,dg006,1,0.0,0.0,0.0,0.0
confirmation-132,dg006,1,0.0,0.0,0.0,0.0
confirmation-133,dg006,1,0.0,0.0,0.0,0.0
confirmation-134,dg006,1,0.0,0.0,0.0,0.0
confirmation-135,dg006,1,0.0,0.0,0.0,0.0
confirmation-136,dg006,1,0.0,0.0,0.0,0.0
confirmation-137,dg006,1,-0.002109704641350211,0.0,0.0,0.0
confirmation-138,dg006,1,0.0,0.0,0.0,0.0
confirmation-139,dg006,1,-0.0010548523206751054,0.0,0.0,0.0
confirmation-140,dg006,1,0.0,0.0,0.0,0.0
confirmation-141,dg006,1,0.0,0.0,0.0,0.0
confirmation-142,dg006,1,0.0,0.0,0.0,0.0
confirmation-143,dg006,1,-0.002109704641350211,0.0,0.0,0.0
confirmation-144,dg006,1,0.0,0.0,0.0,0.0
confirmation-145,dg006,1,0.0,0.0,0.0,0.0
confirmation-146,dg006,1,0.4166666666666667,-0.0010548523206751054,0.08333333333333333,0.0
confirmation-147,dg024,1,0.32383966244725737,0.0,0.0,0.0
confirmation-148,dg024,1,0.7489451476793249,-0.002109704641350211,0.0,0.0
confirmation-149,dg024,1,1.0,0.0,0.0,0.0
confirmation-150,dg024,1,0.0,0.0,0.0,0.0
confirmation-151,dg025,1,0.08333333333333333,0.0,0.0,0.0
confirmation-152,dg025,1,0.0,0.0,0.0,0.0
confirmation-153,dg026,1,0.0,-0.002109704641350211,0.0,0.0
confirmation-154,dg026,1,0.4145569620253165,0.0,0.0,0.0
confirmation-155,dg027,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-156,dg027,1,0.0,-0.002109704641350211,0.0,0.0
confirmation-157,dg028,1,0.8333333333333334,-0.0010548523206751054,0.5833333333333334,0.0
confirmation-158,dg028,1,1.0,-0.0031645569620253164,0.4978902953586498,0.0
confirmation-159,dg003,1,0.990506329113924,-0.002109704641350211,0.0,0.0
confirmation-160,dg003,1,-0.007383966244725738,0.0,0.0,0.0
confirmation-001,dg001,2,0.5833333333333334,0.0,0.0,0.0
confirmation-002,dg001,2,0.0,0.0,0.0,0.0
confirmation-003,dg002,2,0.9873417721518988,-0.007383966244725738,0.75,-0.010548523206751054
confirmation-004,dg002,2,0.5833333333333334,0.0,0.08333333333333333,0.0
confirmation-005,dg003,2,0.979957805907173,-0.004219409282700422,0.9989451476793249,0.07489451476793249
confirmation-006,dg003,2,-0.0010548523206751054,0.0,0.0,0.0
confirmation-007,dg004,2,0.0,0.0,0.0,0.0
confirmation-008,dg004,2,0.24472573839662448,0.0,0.0,0.0
confirmation-009,dg005,2,0.0,-0.011603375527426161,0.0,0.0
confirmation-010,dg005,2,0.0,0.0,0.0,0.0
confirmation-011,dg003,2,0.0,0.0,0.0,0.0
confirmation-012,dg003,2,-0.039029535864978905,-0.02531645569620253,-0.010548523206751054,-0.022151898734177215
confirmation-013,dg003,2,0.0,0.0,0.0,0.0
confirmation-014,dg003,2,-0.024261603375527425,-0.012658227848101266,0.0,-0.012658227848101266
confirmation-015,dg003,2,0.0,0.0,0.0,0.0
confirmation-016,dg003,2,-0.03270042194092827,-0.0189873417721519,-0.017932489451476793,-0.0189873417721519
confirmation-017,dg006,2,1.0,-0.0010548523206751054,0.5,-0.006329113924050633
confirmation-018,dg006,2,0.4166666666666667,0.0,0.0,0.0
confirmation-019,dg006,2,0.8080168776371308,-0.0010548523206751054,0.4050632911392405,-0.0010548523206751054
confirmation-020,dg006,2,0.0,0.0,0.0,0.0
confirmation-021,dg006,2,0.0,0.0,0.0,0.0
confirmation-022,dg006,2,0.989451476793249,-0.013713080168776372,0.0,-0.015822784810126583
confirmation-023,dg006,2,0.0,0.0,0.0,0.0
confirmation-024,dg006,2,0.9746835443037974,-0.010548523206751054,0.0,-0.012658227848101266
confirmation-025,dg006,2,0.0,0.0,0.0,0.0
