position,loop,layers,lens,target,n_items,rank_kl_retained,top1_agreement,top1_ci_low,top1_ci_high,actual_token_hit10,actual_token_hit10_ci_low,actual_token_hit10_ci_high,actual_token_hit100,actual_token_hit100_ci_low,actual_token_hit100_ci_high,actual_token_mrr,actual_token_mrr_ci_low,actual_token_mrr_ci_high,actual_token_mean_log10_rank,actual_token_mean_log10_rank_ci_low,actual_token_mean_log10_rank_ci_high,kl_lens_to_actual,kl_lens_to_actual_ci_low,kl_lens_to_actual_ci_high
-1,3,48,Logit lens,actual_final_exit,148,True,0.8513513513513513,0.7905405405405409,0.9054054054054059,0.9864864864864865,0.966216216216216,1.0,1.0,0.9999999999999997,1.0,0.9030217717717719,0.8624235172672672,0.939846096096096,0.0791394000974907,0.046093749746691934,0.11732338374480336,0.08574362844228745,0.06631215539079209,0.10744278279797906
-1,4,1-47,Local J-Lens,actual_current_exit,148,True,0.14936745255894193,0.12047153536515241,0.17970097757331788,0.3895917193789534,0.33783424381828636,0.44134919493962016,0.6523864289821738,0.5961759631972399,0.7068717653824037,0.22763107743378205,0.19354761117364888,0.2628183279609322,1.6073839148053584,1.4455219049856725,1.774980994353735,12.00096321105957,11.090666970328705,12.927451690588446
-1,4,1-47,Local J-Lens,actual_final_exit,148,True,0.14936745255894193,0.12047153536515241,0.17970097757331788,0.3895917193789534,0.33783424381828636,0.44134919493962016,0.6523864289821738,0.5961759631972399,0.7068717653824037,0.22763107743378205,0.19354761117364888,0.2628183279609322,1.6073839148053584,1.4455219049856725,1.774980994353735,12.00096321105957,11.090666970328705,12.927451690588446
-1,4,1-47,Final J-Lens,actual_current_exit,148,True,0.14936745255894193,0.12047153536515241,0.17970097757331788,0.3895917193789534,0.33783424381828636,0.44134919493962016,0.6523864289821738,0.5961759631972399,0.7068717653824037,0.22763107743378205,0.19354761117364888,0.2628183279609322,1.6073839148053584,1.4455219049856725,1.774980994353735,12.00096321105957,11.090666970328705,12.927451690588446
-1,4,1-47,Final J-Lens,actual_final_exit,148,True,0.14936745255894193,0.12047153536515241,0.17970097757331788,0.3895917193789534,0.33783424381828636,0.44134919493962016,0.6523864289821738,0.5961759631972399,0.7068717653824037,0.22763107743378205,0.19354761117364888,0.2628183279609322,1.6073839148053584,1.4455219049856725,1.774980994353735,12.00096321105957,11.090666970328705,12.927451690588446
-1,4,1-47,Logit lens,actual_current_exit,148,True,0.17625071880391033,0.14778608395629672,0.20615655549166167,0.36069580218516384,0.32058654399079933,0.4012363427257044,0.5572167912593444,0.5189764232317424,0.5963197239792984,0.24057588836980387,0.20880096176763435,0.2730614144138603,1.8024797814669837,1.675985383662301,1.9277434610095059,7.49714469909668,7.184389342085736,7.8096490174934665
-1,4,1-47,Logit lens,actual_final_exit,148,True,0.17625071880391033,0.14778608395629672,0.20615655549166167,0.36069580218516384,0.32058654399079933,0.4012363427257044,0.5572167912593444,0.5189764232317424,0.5963197239792984,0.24057588836980387,0.20880096176763435,0.2730614144138603,1.8024797814669837,1.675985383662301,1.9277434610095059,7.49714469909668,7.184389342085736,7.8096490174934665
-1,4,41-47,Local J-Lens,actual_current_exit,148,True,0.39382239382239376,0.3416988416988414,0.4469111969111966,0.7017374517374517,0.6467181467181466,0.7538610038610039,0.8735521235521235,0.8301158301158301,0.9131274131274131,0.5009442133746042,0.45014205984648126,0.5511449112835967,0.7747533840187517,0.6461575833074502,0.9127389998069662,5.268132209777832,4.728825114320058,5.81248698042756
-1,4,41-47,Local J-Lens,actual_final_exit,148,True,0.39382239382239376,0.3416988416988414,0.4469111969111966,0.7017374517374517,0.6467181467181466,0.7538610038610039,0.8735521235521235,0.8301158301158301,0.9131274131274131,0.5009442133746042,0.45014205984648126,0.5511449112835967,0.7747533840187517,0.6461575833074502,0.9127389998069662,5.268132209777832,4.728825114320058,5.81248698042756
-1,4,41-47,Final J-Lens,actual_current_exit,148,True,0.39382239382239376,0.3416988416988414,0.4469111969111966,0.7017374517374517,0.6467181467181466,0.7538610038610039,0.8735521235521235,0.8301158301158301,0.9131274131274131,0.5009442133746042,0.45014205984648126,0.5511449112835967,0.7747533840187517,0.6461575833074502,0.9127389998069662,5.268132209777832,4.728825114320058,5.81248698042756
-1,4,41-47,Final J-Lens,actual_final_exit,148,True,0.39382239382239376,0.3416988416988414,0.4469111969111966,0.7017374517374517,0.6467181467181466,0.7538610038610039,0.8735521235521235,0.8301158301158301,0.9131274131274131,0.5009442133746042,0.45014205984648126,0.5511449112835967,0.7747533840187517,0.6461575833074502,0.9127389998069662,5.268132209777832,4.728825114320058,5.81248698042756
-1,4,41-47,Logit lens,actual_current_exit,148,True,0.5521235521235521,0.48745173745173714,0.6158301158301157,0.8108108108108109,0.7596525096525096,0.8581081081081081,0.9536679536679536,0.9295366795366793,0.9749034749034748,0.6416330877019204,0.5838491820539043,0.6977789111203012,0.4591294869527033,0.36950907085621554,0.5554339349901788,2.59808087348938,2.2566194286129466,2.9587006383877545
-1,4,41-47,Logit lens,actual_final_exit,148,True,0.5521235521235521,0.48745173745173714,0.6158301158301157,0.8108108108108109,0.7596525096525096,0.8581081081081081,0.9536679536679536,0.9295366795366793,0.9749034749034748,0.6416330877019204,0.5838491820539043,0.6977789111203012,0.4591294869527033,0.36950907085621554,0.5554339349901788,2.59808087348938,2.2566194286129466,2.9587006383877545
-1,4,41-48,Local J-Lens,actual_current_exit,148,True,0.46959459459459457,0.4239864864864862,0.516047297297297,0.7390202702702703,0.6908783783783784,0.7846283783783785,0.8893581081081081,0.8513513513513513,0.9239864864864864,0.5633261867027788,0.5188743023656711,0.6072517973731472,0.6779092110164077,0.5653878853940189,0.7986466248310953,4.609614849090576,4.137721954746725,5.085926109537281
