model,seed,task,method_or_contrast,source_index,pass_one_based,physical_block_one_based,native_pass_end,ouro_identity_reference,within_pass_coda_intervention,own,control,excess
ouro,fixed,multihop,raw,126,3,31,False,False,False,0.10227272727272728,0.00883495744418404,0.09343776982854322
ouro,fixed,multihop,raw,127,3,32,False,False,False,0.056818181818181816,0.0061264718998775974,0.05069170991830421
ouro,fixed,multihop,raw,128,3,33,False,False,False,0.056818181818181816,0.007994713337318495,0.04882346848086332
ouro,fixed,multihop,raw,129,3,34,False,False,False,0.045454545454545456,0.007827676620078246,0.037626868834467204
ouro,fixed,multihop,raw,130,3,35,False,False,False,0.056818181818181816,0.007485893798648208,0.04933228801953362
ouro,fixed,multihop,raw,131,3,36,False,False,False,0.03409090909090909,0.008503532875988777,0.02558737621492032
ouro,fixed,multihop,raw,132,3,37,False,False,False,0.045454545454545456,0.010356276468895196,0.035098268985650265
ouro,fixed,multihop,raw,133,3,38,False,False,False,0.11363636363636363,0.01409018954812714,0.09954617408823645
ouro,fixed,multihop,raw,134,3,39,False,False,False,0.17045454545454544,0.016135746885407674,0.15431879856913777
ouro,fixed,multihop,raw,135,3,40,False,False,False,0.25,0.017366995284227308,0.2326330047157726
ouro,fixed,multihop,raw,136,3,41,False,False,False,0.29545454545454547,0.021784474006319336,0.273670071448226
ouro,fixed,multihop,raw,137,3,42,False,False,False,0.3181818181818182,0.021437472522954214,0.2967443456588639
ouro,fixed,multihop,raw,138,3,43,False,False,False,0.2840909090909091,0.018554161803822595,0.2655367472870864
ouro,fixed,multihop,raw,139,3,44,False,False,False,0.38636363636363635,0.01957701954309824,0.36678661682053804
ouro,fixed,multihop,raw,140,3,45,False,False,False,0.3522727272727273,0.020250226932723544,0.3320225003400037
ouro,fixed,multihop,raw,141,3,46,False,False,False,0.4090909090909091,0.03891473180821889,0.3701761772826901
ouro,fixed,multihop,raw,142,3,47,False,False,False,0.3181818181818182,0.07200599039133636,0.24617582779048186
ouro,fixed,multihop,raw,143,3,48,True,False,False,0.2840909090909091,0.07319323598156703,0.21089767310934213
ouro,fixed,multihop,raw,144,4,1,False,False,False,0.22727272727272727,0.031940148273255455,0.1953325789994718
ouro,fixed,multihop,raw,145,4,2,False,False,False,0.125,0.01153838246782616,0.11346161753217383
ouro,fixed,multihop,raw,146,4,3,False,False,False,0.10227272727272728,0.0071311829283335374,0.09514154434439374
ouro,fixed,multihop,raw,147,4,4,False,False,False,0.1590909090909091,0.014593869495497723,0.14449703959541133
ouro,fixed,multihop,raw,148,4,5,False,False,False,0.19318181818181818,0.013578800213807002,0.17960301796801115
ouro,fixed,multihop,raw,149,4,6,False,False,False,0.125,0.01154609185477571,0.11345390814522426
ouro,fixed,multihop,raw,150,4,7,False,False,False,0.07954545454545454,0.0078044693885942215,0.0717409851568603
ouro,fixed,multihop,raw,151,4,8,False,False,False,0.056818181818181816,0.004242732617902222,0.05257544920027959
ouro,fixed,multihop,raw,152,4,9,False,False,False,0.022727272727272728,0.004412339130792318,0.018314933596480405
ouro,fixed,multihop,raw,153,4,10,False,False,False,0.026515151515151512,0.003739052670531638,0.022776098844619883
ouro,fixed,multihop,raw,154,4,11,False,False,False,0.022727272727272728,0.003903519592122033,0.018823753135150688
ouro,fixed,multihop,raw,155,4,12,False,False,False,0.03409090909090909,0.0035617367706919935,0.030529172320217103
