criterion,task,stratum,n_items,loop,jlens_exit3_any_hit,jlens_exit3_any_hit_ci_low,jlens_exit3_any_hit_ci_high,jlens_exit3_any_control,jlens_exit3_any_control_ci_low,jlens_exit3_any_control_ci_high,jlens_exit3_any_excess,jlens_exit3_any_excess_ci_low,jlens_exit3_any_excess_ci_high,logitlens_any_hit,logitlens_any_hit_ci_low,logitlens_any_hit_ci_high,logitlens_any_control,logitlens_any_control_ci_low,logitlens_any_control_ci_high,logitlens_any_excess,logitlens_any_excess_ci_low,logitlens_any_excess_ci_high,difference,ci_low,ci_high,cluster_ci_low,cluster_ci_high
strict_numeric,order-ops,passing,29,1,0.10344827586206896,0.0,0.24137931034482757,0.005305039787798409,0.0,0.013262599469496022,0.09814323607427054,-0.005305039787798409,0.23342175066312995,0.9310344827586207,0.8275862068965516,1.0,0.6233421750663131,0.5623342175066312,0.6843501326259948,0.30769230769230776,0.1830238726790451,0.41114058355437666,-0.20954907161803712,-0.34748010610079577,-0.05305039787798408,-0.3992673992673991,-0.022624434389140254
strict_numeric,order-ops,passing,29,2,0.6206896551724138,0.4482758620689655,0.793103448275862,0.21750663129973474,0.16710875331564987,0.26790450928381965,0.40318302387267896,0.22546419098143233,0.572944297082228,0.8275862068965517,0.689655172413793,0.9655172413793102,0.6631299734748012,0.5968169761273209,0.729442970822281,0.16445623342175067,0.02917771883289123,0.2917771883289125,0.23872679045092832,0.05570291777188327,0.4244031830238726,-0.007335164835164843,0.4903846153846152
strict_numeric,order-ops,passing,29,3,0.4482758620689655,0.27586206896551724,0.6206896551724138,0.18832891246684358,0.13527851458885942,0.24933687002652521,0.259946949602122,0.08222811671087532,0.4456233421750663,0.7241379310344828,0.5517241379310345,0.8620689655172414,0.6445623342175065,0.5835543766578248,0.7082228116710875,0.07957559681697611,-0.08222811671087533,0.2360742705570292,0.18037135278514585,-0.01863395225464189,0.37931034482758624,-0.10489510489510492,0.42440848806365994
strict_numeric,order-ops,passing,29,4,0.896551724137931,0.7931034482758617,0.9999999999999999,0.6737400530503981,0.6127320954907163,0.7321618037135224,0.22281167108753316,0.09814323607427056,0.33421750663129973,0.9310344827586207,0.8275862068965516,1.0,0.660477453580902,0.5994694960212201,0.7188328912466844,0.27055702917771884,0.15915119363395225,0.3660477453580902,-0.047745358090185694,-0.1273209549071618,0.013262599469496024,-0.15705128205128205,0.016890765061496317
strict_numeric,order-ops,failing,22,1,0.0,0.0,0.0,0.01048951048951049,0.0,0.02097902097902098,-0.01048951048951049,-0.02097902097902098,0.0,0.8636363636363636,0.7272727272727271,0.9999999999999999,0.5594405594405594,0.48251748251748255,0.6328671328671329,0.3041958041958042,0.13286713286713284,0.458041958041958,-0.3146853146853148,-0.4685314685314685,-0.1433566433566433,-0.491638795986622,-0.14380713489409191
strict_numeric,order-ops,failing,22,2,0.4090909090909091,0.22727272727272727,0.6363636363636362,0.20979020979020976,0.13636363636363638,0.28321678321678323,0.19930069930069927,0.02097902097902097,0.38111888111888104,0.8181818181818182,0.6363636363636364,0.9545454545454546,0.6293706293706293,0.5559440559440558,0.7097902097902097,0.18881118881118877,0.027972027972027972,0.3356643356643356,0.010489510489510478,-0.13286713286713286,0.13636363636363635,-0.07692307692307694,0.14792899408284024
strict_numeric,order-ops,failing,22,3,0.3181818181818182,0.13636363636363635,0.5,0.1958041958041958,0.1258741258741259,0.2727272727272727,0.12237762237762237,-0.04195804195804197,0.2972027972027972,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.5734265734265735,0.5174825174825175,0.6363636363636365,0.15384615384615383,-0.04545454545454542,0.3356643356643356,-0.03146853146853147,-0.1888111888111888,0.12237762237762236,-0.22461538461538463,0.14903846153846154
strict_numeric,order-ops,failing,22,4,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.5734265734265734,0.5104895104895105,0.6328671328671328,0.15384615384615385,-0.04195804195804198,0.3356643356643356,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.5874125874125874,0.5139860139860141,0.6608391608391609,0.13986013986013984,-0.041958041958041974,0.3111888111888112,0.01398601398601399,-0.038461538461538464,0.07342657342657344,-0.03643724696356274,0.057692307692307696
numeric_equivalence,multihop,passing,36,1,0.027777777777777776,0.0,0.08333333333333333,0.03140688642606801,0.024154589371980676,0.0398550724637681,-0.003629108648290234,-0.03864734299516906,0.057971014492753624,0.5,0.33333333333333337,0.6666666666666667,0.106771573363645,0.07568438003220612,0.13902031827223632,0.3932284266363551,0.24033816425120774,0.5420041204887752,-0.3968575352846454,-0.5600570119352088,-0.22438518281708852,-0.5691374965133318,-0.2200580055759084
numeric_equivalence,multihop,passing,36,2,0.05555555555555555,0.0,0.1388888888888889,0.04955834991001232,0.03099838969404186,0.07017263427109974,0.005997205645543246,-0.05797101449275362,0.09250970919768874,0.6944444444444444,0.5277777777777779,0.8333333333333336,0.09952519655205079,0.07045088566827697,0.12980945699535834,0.5949192478923937,0.4447582172965804,0.7336327495974233,-0.5889220422468503,-0.7374739509330301,-0.433023704650943,-0.7332428868286445,-0.42935734768215594
numeric_equivalence,multihop,passing,36,3,0.1388888888888889,0.027777777777777776,0.25,0.04958203087998484,0.03220611916264089,0.06903594771241829,0.08930685800890406,-0.01610305958132045,0.2145081462536705,0.75,0.6111111111111112,0.8888888888888891,0.09952519655205078,0.07094226579520697,0.12891328028796062,0.6504748034479495,0.5136876006441222,0.7761730960500137,-0.5611679454390451,-0.7218196457326892,-0.3852177465188975,-0.7175831202046039,-0.3801506109690258
numeric_equivalence,multihop,passing,36,4,0.75,0.6111111111111112,0.8888888888888891,0.09710973761485271,0.07094004570427204,0.12425996968835844,0.6528902623851475,0.5095708120204603,0.7834656507530544,0.7777777777777778,0.638888888888889,0.8888888888888892,0.09952519655205078,0.07165861513687599,0.1288244766505636,0.6782525812257273,0.5487095351425594,0.794913179643838,-0.02536231884057971,-0.13969404186795492,0.08816425120772947,-0.15652173913043468,0.09135375494071098
numeric_equivalence,multihop,failing,54,1,0.037037037037037035,0.0,0.09259259259259259,0.03063934613189616,0.022848189195162773,0.04001689242524707,0.00639769090514087,-0.034428961095818625,0.06413309005554729,0.42592592592592593,0.2962962962962963,0.5555555555555556,0.09116454763220933,0.06974501162134768,0.11365685072788939,0.3347613782937166,0.20794495364420673,0.4665696748331846,-0.3283636873885756,-0.46586052698051844,-0.19145600765001358,-0.4715092331700551,-0.19027127620746728
numeric_equivalence,multihop,failing,54,2,0.018518518518518517,0.0,0.05555555555555555,0.03757380568974772,0.020933977455716585,0.05555555555555555,-0.0190552871712292,-0.05018786902844874,0.024154589371980676,0.48148148148148145,0.35185185185185175,0.611111111111111,0.09490996990042684,0.07453297092024015,0.116101149493133,0.3865715115810546,0.2536920149065226,0.5194976971729395,-0.4056267987522839,-0.5377591269521483,-0.2737293097833746,-0.5559421811316444,-0.2694451024648398
numeric_equivalence,multihop,failing,54,3,0.14814814814814814,0.05555555555555555,0.24074074074074073,0.05161290968667131,0.03739619841495375,0.06667038817233335,0.09653523846147684,0.009558982580702624,0.1944916311334301,0.5,0.3703703703703703,0.6296296296296295,0.09976062191646677,0.07859040911290852,0.12188749583521247,0.40023937808353327,0.274516432531385,0.5260033677049062,-0.3037041396220565,-0.4268922597159132,-0.18428520081933797,-0.4402616162387319,-0.18353445663602042
numeric_equivalence,multihop,failing,54,4,0.4444444444444444,0.31481481481481477,0.5740740740740741,0.09327191832822246,0.07241734870216503,0.11472688890491188,0.35117252611622196,0.2233528589410624,0.48190813362381985,0.46913580246913583,0.339506172839506,0.5987654320987654,0.09893968162408573,0.07852994458653027,0.12023404868713165,0.3701961208450502,0.24581824260576443,0.4944529477977167,-0.01902359472882815,-0.11755259561103262,0.07787940860724284,-0.121507754266174,0.0796024586294302
numeric_equivalence,order-ops,passing,30,1,0.1,0.0,0.23333333333333334,0.005128205128205128,0.0,0.012820512820512822,0.09487179487179485,-0.005128205128205128,0.22564102564102562,0.9333333333333333,0.8333333333333333,0.9999999999999999,0.6205128205128206,0.5589743589743591,0.6794871794871795,0.3128205128205128,0.19487179487179487,0.41282051282051285,-0.21794871794871795,-0.35384615384615375,-0.06666666666666668,-0.3992709213863061,-0.05465587044534412
numeric_equivalence,order-ops,passing,30,2,0.6,0.4333333333333333,0.7666666666666666,0.21025641025641026,0.15897435897435896,0.26153846153846155,0.38974358974358964,0.21538461538461537,0.5564102564102564,0.8333333333333334,0.7,0.9666666666666666,0.6615384615384615,0.5974358974358975,0.7256410256410256,0.17179487179487177,0.04102564102564102,0.2974358974358974,0.2179487179487179,0.035897435897435895,0.4025641025641026,-0.025641025641025626,0.47817047817047786
numeric_equivalence,order-ops,passing,30,3,0.43333333333333335,0.26666666666666666,0.6,0.18205128205128213,0.12820512820512822,0.24358974358974358,0.2512820512820512,0.07948717948717947,0.43076923076923085,0.7333333333333333,0.5666666666666667,0.8666666666666666,0.6461538461538461,0.5871794871794871,0.7076923076923076,0.08717948717948715,-0.06923076923076923,0.2384615384615385,0.1641025641025641,-0.03333333333333332,0.3615384615384616,-0.11282051282051284,0.41580204002078985
numeric_equivalence,order-ops,passing,30,4,0.9,0.7666666666666666,0.9999999999999999,0.6743589743589745,0.6153846153846154,0.7307692307692308,0.22564102564102567,0.10256410256410257,0.33333333333333326,0.9333333333333333,0.8333333333333333,0.9999999999999999,0.6564102564102566,0.5999999999999999,0.7153846153846153,0.27692307692307694,0.16923076923076924,0.3692307692307692,-0.051282051282051294,-0.12820512820512822,0.0076923076923077005,-0.1569262820512821,0.00961538461538462
numeric_equivalence,order-ops,failing,21,1,0.0,0.0,0.0,0.01098901098901099,0.0,0.02197802197802198,-0.01098901098901099,-0.02197802197802198,0.0,0.8571428571428571,0.7142857142857142,1.0,0.5604395604395604,0.47985347985347987,0.6373626373626373,0.29670329670329676,0.12087912087912085,0.4578754578754578,-0.30769230769230776,-0.4652014652014652,-0.13186813186813184,-0.4930121349238997,-0.12937062937062938
numeric_equivalence,order-ops,failing,21,2,0.42857142857142855,0.23809523809523808,0.6190476190476191,0.21978021978021975,0.14652014652014653,0.2967032967032967,0.20879120879120877,0.021978021978021962,0.39926739926739924,0.8095238095238095,0.6190476190476191,0.9523809523809524,0.63003663003663,0.553113553113553,0.7142857142857142,0.17948717948717943,0.014652014652014655,0.3333333333333333,0.02930402930402929,-0.11355311355311358,0.15750915750915748,-0.056135055173516725,0.17160633484162824
numeric_equivalence,order-ops,failing,21,3,0.3333333333333333,0.14285714285714285,0.5238095238095237,0.20512820512820512,0.13553113553113552,0.28205128205128205,0.1282051282051282,-0.040293040293040316,0.30769230769230765,0.7142857142857143,0.5238095238095237,0.9047619047619047,0.5677655677655679,0.5091575091575091,0.6336996336996338,0.1465201465201465,-0.058608058608058615,0.33699633699633696,-0.01831501831501833,-0.1831501831501831,0.1391941391941392,-0.21678321678321677,0.15384615384615383
numeric_equivalence,order-ops,failing,21,4,0.7142857142857143,0.5238095238095237,0.9047619047619047,0.5677655677655677,0.5018315018315018,0.63003663003663,0.1465201465201465,-0.062271062271062286,0.3297619047618968,0.7142857142857143,0.5238095238095237,0.9047619047619047,0.5897435897435898,0.5128205128205129,0.6703296703296703,0.12454212454212452,-0.06593406593406594,0.30036630036630035,0.021978021978021983,-0.03296703296703296,0.08424908424908424,-0.02197802197802198,0.062133699633699344
