loop,physical_layer,probe,logit_lens,j_lens,logit_lens_one_form,j_lens_one_form
2,14,0.4409722222222222,0.21180555555555555,0.359375,0.21180555555555555,0.08506944444444445
2,15,0.2847222222222222,0.2795138888888889,0.3541666666666667,0.3923611111111111,0.0798611111111111
2,16,0.2621527777777778,0.22395833333333334,0.3541666666666667,0.3038194444444444,0.0920138888888889
2,17,0.2708333333333333,0.2048611111111111,0.2916666666666667,0.28125,0.0642361111111111
2,18,0.28125,0.21875,0.3402777777777778,0.22569444444444445,0.07291666666666667
2,19,0.2916666666666667,0.1076388888888889,0.3229166666666667,0.09375,0.059027777777777776
2,20,0.3350694444444444,0.11805555555555555,0.2847222222222222,0.09722222222222222,0.2847222222222222
2,21,0.3524305555555556,0.0954861111111111,0.2899305555555556,0.08333333333333333,0.2899305555555556
2,22,0.3489583333333333,0.026041666666666668,0.2881944444444444,0.026041666666666668,0.2881944444444444
2,23,0.3628472222222222,0.022569444444444444,0.3680555555555556,0.022569444444444444,0.08159722222222222
2,24,0.3663194444444444,0.012152777777777778,0.3819444444444444,0.012152777777777778,0.3333333333333333
2,25,0.3819444444444444,0.006944444444444444,0.3003472222222222,0.008680555555555556,0.2777777777777778
2,26,0.3836805555555556,0.012152777777777778,0.3020833333333333,0.010416666666666666,0.2829861111111111
2,27,0.3923611111111111,0.012152777777777778,0.2673611111111111,0.013888888888888888,0.2309027777777778
2,28,0.3888888888888889,0.015625,0.24305555555555555,0.013888888888888888,0.22743055555555555
2,29,0.3940972222222222,0.020833333333333332,0.2552083333333333,0.020833333333333332,0.22569444444444445
2,30,0.3940972222222222,0.013888888888888888,0.2517361111111111,0.017361111111111112,0.2326388888888889
2,31,0.3940972222222222,0.027777777777777776,0.234375,0.026041666666666668,0.22916666666666666
2,32,0.3506944444444444,0.03298611111111111,0.2621527777777778,0.03298611111111111,0.2638888888888889
2,33,0.3697916666666667,0.027777777777777776,0.265625,0.027777777777777776,0.2517361111111111
2,34,0.40625,0.03125,0.2621527777777778,0.03125,0.2482638888888889
2,35,0.3784722222222222,0.019097222222222224,0.2586805555555556,0.022569444444444444,0.2534722222222222
2,36,0.4045138888888889,0.012152777777777778,0.24479166666666666,0.017361111111111112,0.24131944444444445
2,37,0.3940972222222222,0.026041666666666668,0.2482638888888889,0.034722222222222224,0.265625
2,38,0.3975694444444444,0.029513888888888888,0.2482638888888889,0.029513888888888888,0.2569444444444444
2,39,0.4079861111111111,0.036458333333333336,0.2361111111111111,0.03993055555555555,0.2361111111111111
2,40,0.3940972222222222,0.03993055555555555,0.23958333333333334,0.03819444444444445,0.22743055555555555
2,41,0.4079861111111111,0.034722222222222224,0.2326388888888889,0.03298611111111111,0.2152777777777778
2,42,0.3975694444444444,0.03993055555555555,0.2326388888888889,0.03993055555555555,0.22569444444444445
2,43,0.3854166666666667,0.017361111111111112,0.234375,0.017361111111111112,0.22395833333333334
2,44,0.3697916666666667,0.015625,0.1996527777777778,0.015625,0.17708333333333334
